site,species,number,om
cooda,sand,41,1.59472514
cooda,sand,42,1.543332014
cooda,sand,43,1.434496404
cooda,sand,44,1.487573592
cooda,sand,45,1.415818974
cooda,sand,46,1.291632468
cooda,sand,47,1.334392375
cooda,sand,48,1.349154746
cooda,sand,49,1.321326376
cooda,sand,50,1.275371335
angel2,sand,51,1.5518129
angel2,sand,52,1.526654563
angel2,sand,53,1.428191253
angel2,sand,54,1.403620703
angel2,sand,55,1.37751588
angel2,sand,56,1.384222551
angel2,sand,57,1.301687677
angel2,sand,58,1.26474107
angel2,sand,59,1.291711518
angel2,sand,60,1.251156616
Mount pretty,dd,1,8.791946309
Mount pretty,dd,2,3.853472883
Mount pretty,dd,3,3.941176471
Mount pretty,dd,4,3.888078277
Mount pretty,ft,5,6.233062331
Mount pretty,ft,6,7.721639657
Mount pretty,ft,7,4.799216454
Mount pretty,ft,8,5.124534784
Mount pretty,ft,9,6.888168558
Mount pretty,ft,10,4.824233358
Mount pretty,ft,11,5.2
Mount pretty,dd,12,3.401556645
Mount pretty,dd,13,
Mount pretty,dd,14,3.536014967
Mount pretty,ft,15,3.658536585
Mount pretty,ft,16,3.982300885
Mount pretty,ft,17,3.982177666
Mount pretty,dd,18,2.800739084
Mount pretty,dd,19,
Mount pretty,dd,20,3.02771855
PR F4?,ft,21,6.606463878
PR F4?,ft,22,5.507955936
PR F4?,ft,23,5.775500699
PR F4?,ft,24,5.316223648
PR F4?,dd,25,3.359918547
PR F4?,dd,26,3.646042587
PR F4?,dd,27,5.85106383
PR F4?,dd,28,3.327942804
PR F4?,dd,29,4.092992796
PR F4?,dd,30,3.365889095
PR F4?,dd,31,3.639199376
PR F4?,ft,32,5.614143921
PR F4?,ft,33,4.284060208
PR F4?,ft,34,4.488594555
PR F4?,ft,35,4.957570344
PR F4?,ft,36,5.603271984
PR F4?,ft,37,6.169822847
PR F4?,dd,38,3.848973607
PR F4?,dd,39,3.369880684
PR F4?,dd,40,2.976766699