,patch,long,lat,Treatment,ft_original,dd_original,proportion_ft_original,ft_final,dd_final,proportion_ft_final,patch_area,seagrass_area,prop_ft_density_seag,ft_density_pre,dd_density_pre,ft_density_post,dd_density_post,,total_contribution,dd_density_grass,ft_density_grass,total_cuke_den_sg,kg_m2yr_hmex,kg_m2yr_aaga,umolh_m2_hmex,umolh_m2_aaga,,proportion_dd_bioturb
1,New2,-76.263267,24.820817,control,9,1,0.9,9,1,0.9,53.82779,84.21704,0.010686673,0.106866734,0.011874082,0.106866734,0.011874082,,0.185777643,0.011874082,0.106866734,0.118740815,0.51550156,0.868108878,0.27656803,1.381246451,,0.372577097
2,Damsel,-76.255838,24.820622,control,10,2,0.833333333,10,2,0.833333333,33.22996,22.23235,0.037482917,0.449795006,0.089959001,0.449795006,0.089959001,,0.361119905,0.089959001,0.449795006,0.539754007,1.954711017,3.290506773,1.048031661,5.237730816,,0.372665368
3,78S,-76.24708501,24.85274599,control,12,1,0.923076923,12,1,0.923076923,36.03586,10.18353,0.090644101,1.178373315,0.098197776,1.178373315,0.098197776,,0.360751763,0.098197776,1.178373315,1.276571091,2.09027545,8.637562952,1.145871849,13.71815098,,0.194845911
4,119,-76.273583,24.823233,control,5,2,0.714285714,5,2,0.714285714,22.32645,29.4188,0.024279907,0.169959346,0.067983738,0.169959346,0.067983738,,0.313529468,0.067983738,0.169959346,0.237943084,1.477492041,1.245248682,0.795974441,1.972642516,,0.54264882
5,76S,-76.25828097,24.85207502,control,13,0,1,13,0,1,6.58981,18.62352,0.053695542,0.698042046,0,0.698042046,0,,1.972742765,0,0.698042046,0.698042046,0,5.116921571,0,8.125077144,,0
6,LS02,-76.276583,24.841433,control,0,1,0,0,1,0,9.628874,43.75249,0,0,0.022855842,0,0.022855842,,0.103854303,0.022855842,0,0.022855842,0.496987405,0,0.263384526,0,,1
7,85,-76.24768498,24.83654201,control,6,1,0.857142857,6,1,0.857142857,31.93444,38.73354,0.022129216,0.154904509,0.025817418,0.154904509,0.025817418,,0.219199084,0.025817418,0.154904509,0.180721927,0.56263523,1.13403979,0.301572004,1.799068331,,0.331610487
8,Angel2,-76.247659,24.82399,A.agassizii,5,1,0.833333333,6,0,1,4.738043,24.90377,0.033462136,0.200772815,0.040154563,0.240927378,0,,1.26634562,0.040154563,0.200772815,0.240927378,0.877774382,1.466309761,0.465205727,2.336917803,,0.374463683
9,Calgary,-76.260102,24.884792,A.agassizii,9,0,1,9,0,1,7.717423,39.65982,0.025214436,0.226929926,0,0.226929926,0,,1.166192393,0,0.226929926,0.226929926,0,1.659181773,0,2.635612103,,0
10,Lakeisha,-76.262617,24.862133,A.agassizii,7,2,0.777777778,9,0,1,8.117698,23.39578,0.033244362,0.299199257,0.085485502,0.384684759,0,,1.108688695,0.085485502,0.299199257,0.384684759,1.864359439,2.191147245,0.994292234,3.472626362,,0.459710607
11,IMC,-76.262752,24.811689,A.agassizii,11,5,0.6875,16,0,1,24.57929,62.60658,0.010981274,0.175700382,0.07986381,0.255564191,0,,0.650954523,0.07986381,0.175700382,0.255564191,1.734384972,1.287142672,0.929499935,2.049018413,,0.574009301
12,94north,-76.26096603,24.81939599,A.agassizii,6,3,0.666666667,9,0,1,24.42634,62.49633,0.010667293,0.096005637,0.048002819,0.144008456,0,,0.368454709,0.048002819,0.096005637,0.144008456,1.02765284,0.58439606,0.558800784,0.935535216,,0.637482424
13,NF17,-76.25243,24.83296,A.agassizii,12,6,0.666666667,18,0,1,71.81708,44.91432,0.014843076,0.267175369,0.133587684,0.400763053,0,,0.250636757,0.133587684,0.267175369,0.400763053,2.880911256,1.953043305,1.553060096,3.113904793,,0.595974004
14,71,-76.27264998,24.83281701,A.agassizii,7,5,0.583333333,12,0,1,128.6388,182.2107,0.003201422,0.038417063,0.02744076,0.065857823,0,,0.093284452,0.02744076,0.038417063,0.065857823,0.594805051,0.279810939,0.319619994,0.448570692,,0.680075665
15,57,-76.26262103,24.84283598,H.mexicana,4,3,0.571428571,0,7,0,5.959557,33.61352,0.016999962,0.118999736,0.089249802,0,0.208249538,,1.174583949,0.089249802,0.118999736,0.208249538,1.942921432,0.87033899,1.040360033,1.388150251,,0.690629782
16,Cooda,-76.267879,24.81475,H.mexicana,1,1,0.5,0,2,0,12.43398,15.09664,0.033119953,0.066239905,0.066239905,0,0.13247981,,0.160849542,0.066239905,0.066239905,0.13247981,1.460186328,0.484959662,0.767040969,0.768222966,,0.750682126
17,NF15,-76.24149,24.82254,H.mexicana,3,5,0.375,0,8,0,13.90577,126.4689,0.002965156,0.023721247,0.039535411,0,0.063256658,,0.575300757,0.039535411,0.023721247,0.063256658,0.850518106,0.173807107,0.459571514,0.275909928,,0.830320386
18,Check1,-76.270767,24.84155,H.mexicana,3,1,0.75,0,4,0,25.21333,64.09249,0.011701839,0.046807356,0.015602452,0,0.062409808,,0.15864624,0.015602452,0.046807356,0.062409808,0.331319774,0.341215823,0.180724713,0.546698215,,0.492642732
19,Cow,-76.265989,24.818844,H.mexicana,2,0,1,0,2,0,28.16804,5.274395,0.189595205,0.37919041,0,0,0.37919041,,0.071002455,0,0.37919041,0.37919041,0,2.777374259,0,4.403862371,,0
20,90stop,-76.25416,24.84634,H.mexicana,58,3,0.950819672,0,61,0,124.6796291,296.108,0.003211057,0.195874478,0.010131439,0,0.206005917,,0.489253942,0.010131439,0.195874478,0.206005917,0.219088275,1.431964595,0.117315013,2.279922544,,0.132696099
21,94urchin,-76.26096603,24.81939599,H.mexicana,4,2,0.666666667,0,6,0,59.30829,29.99752,0.022224059,0.133344356,0.066672178,0,0.200016535,,0.101166296,0.066672178,0.133344356,0.200016535,1.445572169,0.972359404,0.773056143,1.559452393,,0.597854871
22,F5small,-76.24753,24.82288303,removal,3,0,1,0,0,#DIV/0!,1.27324,6.684508,0.149599641,0.448798924,0,0,0,,2.356193648,0,0.448798924,0.448798924,0,3.284795463,0,5.178873616,,0
23,Biscuit,-76.26735002,24.851367,removal,10,1,0.909090909,0,0,#DIV/0!,13.83454,40.37443,0.022516501,0.247681515,0.024768152,0,0,,0.795111366,0.024768152,0.247681515,0.272449667,0.538545248,1.809799119,0.289866429,2.879545982,,0.229329759
24,CT15,-76.258817,24.883417,removal,7,0,1,0,0,#DIV/0!,61.15529,21.35382,0.046830029,0.3278102,0,0,0,,0.114462706,0,0.3278102,0.3278102,0,2.39377547,0,3.804249435,,0
25,Check3,-76.25738,24.83118,removal,3,3,0.5,0,0,#DIV/0!,11.84431,13.65311,0.036621693,0.219730157,0.219730157,0,0,,0.506572354,0.219730157,0.219730157,0.439460313,4.762750479,2.151160543,2.553705601,3.413276281,,0.688864879
26,FFA,-76.24473,24.85102,removal,14,0,1,0,0,#DIV/0!,13.24249,35.70084,0.028010545,0.392147636,0,0,0,,1.057202988,0,0.392147636,0.392147636,0,2.868714507,0,4.580479339,,0
27,Montreal,-76.263468,24.820924,removal,7,0,1,0,0,#DIV/0!,18.64341,11.61592,0.086088747,0.60262123,0,0,0,,0.375467793,0,0.60262123,0.60262123,0,4.411632395,0,7.013049794,,0
28,E2,-76.266,24.81435,removal,1,3,0.25,0,0,#DIV/0!,48.93935,170.3961,0.00146717,0.005868679,0.017606037,0,0,,0.08173382,0.017606037,0.005868679,0.023474716,0.384683311,0.042957332,0.204569425,0.067927567,,0.89954806
29,Vancouver,-76.262617,24.862133,half,3,0,1,1,0,1,8.92143,66.56894,0.015022021,0.045066062,0,0.015022021,0,,,0,0.045066062,0.045066062,0,0.329562097,0,0.524681007,,0
30,74tall,-76.25735301,24.85711003,half,21,0,1,11,0,1,15.37516,24.19792,0.041325866,0.867843187,0,0.454584526,0,,,0,0.867843187,0.867843187,0,6.340188977,0,10.12568937,,0
31,96S,-76.25775299,24.86374003,half,2,0,1,1,0,1,2.676986,17.44099,0.057336195,0.11467239,0,0.057336195,0,,,0,0.11467239,0.11467239,0,0.837677584,0,1.337348723,,0
32,Shitscreek,-76.24256,24.81291,half,1,6,0.142857143,1,3,0.25,34.26308,39.76387,0.003592637,0.025148458,0.150890746,0.025148458,0.075445373,,,0.150890746,0.025148458,0.176039203,3.248729413,0.183026499,1.764045262,0.288839541,,0.946666807
33,E1,-76.26444602,24.81238897,half,8,5,0.615384615,4,2,0.666666667,209.3391,119.6732,0.005142209,0.066848718,0.041780449,0.033424359,0.01671218,,,0.041780449,0.066848718,0.108629167,0.903560905,0.488669487,0.486059076,0.779956486,,0.649002428
34,Check5,-76.250533,24.846717,half,9,3,0.75,5,1,0.833333333,18.87259,25.44888,0.029470845,0.353650141,0.11788338,0.196472301,0.03929446,,,0.11788338,0.353650141,0.471533521,2.524777039,2.584138864,1.367982645,4.110422176,,0.49419037
35,Josh,-76.24934703,24.844133,half,19,1,0.95,9,1,0.9,22.99789,47.1966,0.020128569,0.402571372,0.021187967,0.190691702,0.021187967,,,0.021187967,0.402571372,0.423759339,0.458847039,2.943785342,0.247983286,4.68995958,,0.134850606